Gene,Coefficient,Abs_Coefficient
DIO1,-0.10538449694812886,0.10538449694812886
NIS,-0.07670183834598485,0.07670183834598485
TSHR,-0.07398812762838312,0.07398812762838312
TG,-0.05638377717311561,0.05638377717311561
SLC5A5,-0.031926872039086895,0.031926872039086895
DIO2,-0.031161916045030855,0.031161916045030855
SLC26A4,-0.02468871374222738,0.02468871374222738
TPO,-0.022245962135096557,0.022245962135096557
HNF1A,0.006689910922017624,0.006689910922017624
THRB,-0.0060279163159923455,0.0060279163159923455
GALNT12,0.004607377716634338,0.004607377716634338
BCL2L1,0.0039058865071260164,0.0039058865071260164
RPL17,0.0036348957020225937,0.0036348957020225937
CREB3L2,0.0035172813398213474,0.0035172813398213474
WWTR1,0.0034608638785019363,0.0034608638785019363
NR0B1,0.0031327230608600366,0.0031327230608600366
RPL9,-0.0030113278639789616,0.0030113278639789616
MAPK1,0.0028350948929078777,0.0028350948929078777
ESR2,-0.0026982834605469436,0.0026982834605469436
NOP10,0.0023715468312150065,0.0023715468312150065
PIK3CB,-0.002215232059458253,0.002215232059458253
TINF2,-0.0021896667249039904,0.0021896667249039904
EPAS1,-0.002158442937582858,0.002158442937582858
WNT5B,0.002081981880808666,0.002081981880808666
FN1,0.0020324308610399863,0.0020324308610399863
PD1,0.0019956580730657435,0.0019956580730657435
PGD,0.00198909818052222,0.00198909818052222
RPL27,0.0019651376717794403,0.0019651376717794403
ZEB2,-0.0019571303332933847,0.0019571303332933847
RPL29,0.0018963902818722738,0.0018963902818722738
BRAF,0.001827142302384954,0.001827142302384954
PPARG,0.0018267170999384224,0.0018267170999384224
STAT3,-0.0018081324432581778,0.0018081324432581778
BAD,-0.001747671069703262,0.001747671069703262
CDK6,0.001711760720176745,0.001711760720176745
COL1A2,-0.0016282868184466488,0.0016282868184466488
RPL7,0.0016058635663169418,0.0016058635663169418
HRK,-0.0014531073629680572,0.0014531073629680572
GATA4,0.0013012205420511816,0.0013012205420511816
GATA6,-0.001234127117845536,0.001234127117845536
PMAIP1,0.0012053134059107362,0.0012053134059107362
KRT8,0.001125165774691161,0.001125165774691161
NFKB2,0.0010790908899595715,0.0010790908899595715
PGK1,0.0010778546830990333,0.0010778546830990333
RPL15,-0.0010199583383269826,0.0010199583383269826
NTRK3,0.0010049423639336636,0.0010049423639336636
RARA,0.0009867592767254809,0.0009867592767254809
E2F3,-0.0009865664400001799,0.0009865664400001799
XRCC1,-0.0009447768769771527,0.0009447768769771527
SNAI2,0.0009055096631267148,0.0009055096631267148
HK1,0.0009022572233057746,0.0009022572233057746
COL3A1,0.0008482830323366382,0.0008482830323366382
HPRT1,-0.0008380898099285656,0.0008380898099285656
TWIST1,0.000827601641097797,0.000827601641097797
RELB,-0.0007725512499530488,0.0007725512499530488
EIF2S2,0.000752223519633001,0.000752223519633001
EIF2B2,-0.0007152223178445552,0.0007152223178445552
RPL24,0.0006830215292305441,0.0006830215292305441
SLC5A1,-0.0006480111206016891,0.0006480111206016891
INSR,-0.0006384511703273716,0.0006384511703273716
RET,0.0005953110445932766,0.0005953110445932766
TGFBR2,-0.0005713080040005231,0.0005713080040005231
DLL1,0.0005102603394412345,0.0005102603394412345
HLA-DRB1,0.00048467457268239954,0.00048467457268239954
E2F6,-0.00046475496466878,0.00046475496466878
E2F5,-0.000395895129256611,0.000395895129256611
NOTCH2,0.00038718189412438673,0.00038718189412438673
FGFR1,-0.0003369718505972886,0.0003369718505972886
BRCA2,0.00033311506713187985,0.00033311506713187985
FOS,0.00032787497530565994,0.00032787497530565994
EIF2B1,0.00032035850883490387,0.00032035850883490387
E2F8,0.00031189030663922724,0.00031189030663922724
NHP2,-0.0002823712496130224,0.0002823712496130224
ITGB3,0.00024621587996844017,0.00024621587996844017
MSH6,-0.0002265643354145474,0.0002265643354145474
RAD51,-0.00021836882254977418,0.00021836882254977418
REL,0.00018807795549274505,0.00018807795549274505
GNB1,0.000125510938292539,0.000125510938292539
CD8B,0.0001245472193573269,0.0001245472193573269
TEAD1,0.00011134156029739622,0.00011134156029739622
CDKN2A,-4.5812319715291616e-05,4.5812319715291616e-05
S100A10,-1.1718251059624686e-05,1.1718251059624686e-05
